row,bank,col,byte_in_row,byte_lane,bit_in_byte,flip_addr,data_bit,expected_bit,direction,block_addr,block_word_index
0,3,792,30967,7,3,1073772791,0,1,1->0,1073772736,7728
0,3,840,31309,5,7,1073773133,0,1,1->0,1073773120,7824
1,0,0,9,1,0,1073807369,1,0,0->1,1073807360,0
1,0,0,9,1,5,1073807369,0,1,1->0,1073807360,0
1,0,0,12,4,0,1073807372,1,0,0->1,1073807360,0
1,0,0,13,5,2,1073807373,1,0,0->1,1073807360,0
1,0,0,13,5,5,1073807373,0,1,1->0,1073807360,0
1,0,0,16,0,5,1073807376,0,1,1->0,1073807360,0
1,0,0,22,6,7,1073807382,0,1,1->0,1073807360,0
1,0,0,24,0,5,1073807384,0,1,1->0,1073807360,0
1,0,0,24,0,7,1073807384,0,1,1->0,1073807360,0
1,0,0,25,1,5,1073807385,0,1,1->0,1073807360,0
1,0,0,26,2,5,1073807386,0,1,1->0,1073807360,0
1,0,0,31,7,5,1073807391,0,1,1->0,1073807360,0
1,0,0,33,1,5,1073807393,0,1,1->0,1073807360,0
1,0,0,34,2,0,1073807394,1,0,0->1,1073807360,0
1,0,0,34,2,5,1073807394,0,1,1->0,1073807360,0
1,0,0,35,3,5,1073807395,0,1,1->0,1073807360,0
1,0,0,38,6,7,1073807398,0,1,1->0,1073807360,0
1,0,0,40,0,0,1073807400,1,0,0->1,1073807360,0
1,0,0,47,7,0,1073807407,1,0,0->1,1073807360,0
1,0,0,47,7,7,1073807407,0,1,1->0,1073807360,0
1,0,0,54,6,2,1073807414,1,0,0->1,1073807360,0
1,0,0,54,6,7,1073807414,0,1,1->0,1073807360,0
1,0,0,58,2,7,1073807418,0,1,1->0,1073807360,0
1,0,0,59,3,5,1073807419,0,1,1->0,1073807360,0
1,0,0,62,6,2,1073807422,1,0,0->1,1073807360,0
1,0,0,63,7,7,1073807423,0,1,1->0,1073807360,0
1,0,8,66,2,7,1073807426,0,1,1->0,1073807424,16
1,0,8,69,5,0,1073807429,1,0,0->1,1073807424,16
1,0,8,71,7,5,1073807431,0,1,1->0,1073807424,16
1,0,8,74,2,7,1073807434,0,1,1->0,1073807424,16
1,0,8,79,7,0,1073807439,1,0,0->1,1073807424,16
1,0,8,80,0,2,1073807440,1,0,0->1,1073807424,16
1,0,8,86,6,5,1073807446,0,1,1->0,1073807424,16
1,0,8,88,0,0,1073807448,1,0,0->1,1073807424,16
1,0,8,95,7,5,1073807455,0,1,1->0,1073807424,16
1,0,8,96,0,5,1073807456,0,1,1->0,1073807424,16
1,0,8,97,1,0,1073807457,1,0,0->1,1073807424,16
1,0,8,97,1,7,1073807457,0,1,1->0,1073807424,16
1,0,8,99,3,2,1073807459,1,0,0->1,1073807424,16
1,0,8,99,3,7,1073807459,0,1,1->0,1073807424,16
1,0,8,102,6,5,1073807462,0,1,1->0,1073807424,16
1,0,8,107,3,0,1073807467,1,0,0->1,1073807424,16
1,0,8,111,7,5,1073807471,0,1,1->0,1073807424,16
1,0,8,112,0,5,1073807472,0,1,1->0,1073807424,16
1,0,8,119,7,0,1073807479,1,0,0->1,1073807424,16
1,0,8,119,7,7,1073807479,0,1,1->0,1073807424,16
1,0,8,125,5,5,1073807485,0,1,1->0,1073807424,16
1,0,8,127,7,0,1073807487,1,0,0->1,1073807424,16
1,0,8,127,7,7,1073807487,0,1,1->0,1073807424,16
1,0,16,128,0,2,1073807488,1,0,0->1,1073807488,32
1,0,16,128,0,7,1073807488,0,1,1->0,1073807488,32
1,0,16,129,1,7,1073807489,0,1,1->0,1073807488,32
1,0,16,130,2,5,1073807490,0,1,1->0,1073807488,32
1,0,16,135,7,5,1073807495,0,1,1->0,1073807488,32
1,0,16,136,0,0,1073807496,1,0,0->1,1073807488,32
1,0,16,139,3,0,1073807499,1,0,0->1,1073807488,32
1,0,16,139,3,7,1073807499,0,1,1->0,1073807488,32
1,0,16,143,7,7,1073807503,0,1,1->0,1073807488,32
1,0,16,145,1,5,1073807505,0,1,1->0,1073807488,32
1,0,16,146,2,5,1073807506,0,1,1->0,1073807488,32
1,0,16,146,2,7,1073807506,0,1,1->0,1073807488,32
1,0,16,148,4,2,1073807508,1,0,0->1,1073807488,32
1,0,16,153,1,5,1073807513,0,1,1->0,1073807488,32
1,0,16,156,4,0,1073807516,1,0,0->1,1073807488,32
1,0,16,161,1,5,1073807521,0,1,1->0,1073807488,32
1,0,16,162,2,5,1073807522,0,1,1->0,1073807488,32
1,0,16,173,5,5,1073807533,0,1,1->0,1073807488,32
1,0,16,175,7,7,1073807535,0,1,1->0,1073807488,32
1,0,24,193,1,5,1073807553,0,1,1->0,1073807552,48
1,0,24,196,4,5,1073807556,0,1,1->0,1073807552,48
1,0,24,197,5,7,1073807557,0,1,1->0,1073807552,48
1,0,24,199,7,2,1073807559,1,0,0->1,1073807552,48
1,0,24,201,1,7,1073807561,0,1,1->0,1073807552,48
1,0,24,203,3,5,1073807563,0,1,1->0,1073807552,48
1,0,24,206,6,2,1073807566,1,0,0->1,1073807552,48
1,0,24,207,7,5,1073807567,0,1,1->0,1073807552,48
1,0,24,208,0,5,1073807568,0,1,1->0,1073807552,48
1,0,24,209,1,7,1073807569,0,1,1->0,1073807552,48
1,0,24,213,5,0,1073807573,1,0,0->1,1073807552,48
1,0,24,215,7,7,1073807575,0,1,1->0,1073807552,48
1,0,24,216,0,5,1073807576,0,1,1->0,1073807552,48
1,0,24,217,1,0,1073807577,1,0,0->1,1073807552,48
1,0,24,222,6,7,1073807582,0,1,1->0,1073807552,48
1,0,24,226,2,7,1073807586,0,1,1->0,1073807552,48
1,0,24,227,3,2,1073807587,1,0,0->1,1073807552,48
1,0,24,235,3,5,1073807595,0,1,1->0,1073807552,48
1,0,24,237,5,2,1073807597,1,0,0->1,1073807552,48
1,0,24,243,3,2,1073807603,1,0,0->1,1073807552,48
1,0,24,246,6,7,1073807606,0,1,1->0,1073807552,48
1,0,24,250,2,7,1073807610,0,1,1->0,1073807552,48
1,0,24,251,3,5,1073807611,0,1,1->0,1073807552,48
1,0,24,254,6,7,1073807614,0,1,1->0,1073807552,48
1,0,24,255,7,5,1073807615,0,1,1->0,1073807552,48
1,0,32,258,2,7,1073807618,0,1,1->0,1073807616,64
1,0,32,262,6,2,1073807622,1,0,0->1,1073807616,64
1,0,32,265,1,0,1073807625,1,0,0->1,1073807616,64
1,0,32,265,1,5,1073807625,0,1,1->0,1073807616,64
1,0,32,269,5,7,1073807629,0,1,1->0,1073807616,64
1,0,32,270,6,7,1073807630,0,1,1->0,1073807616,64
1,0,32,271,7,0,1073807631,1,0,0->1,1073807616,64
1,0,32,272,0,2,1073807632,1,0,0->1,1073807616,64
1,0,32,272,0,7,1073807632,0,1,1->0,1073807616,64
1,0,32,275,3,5,1073807635,0,1,1->0,1073807616,64
1,0,32,275,3,7,1073807635,0,1,1->0,1073807616,64
1,0,32,276,4,2,1073807636,1,0,0->1,1073807616,64
1,0,32,278,6,0,1073807638,1,0,0->1,1073807616,64
1,0,32,280,0,5,1073807640,0,1,1->0,1073807616,64
1,0,32,283,3,2,1073807643,1,0,0->1,1073807616,64
1,0,32,286,6,7,1073807646,0,1,1->0,1073807616,64
1,0,32,291,3,5,1073807651,0,1,1->0,1073807616,64
1,0,32,293,5,0,1073807653,1,0,0->1,1073807616,64
1,0,32,293,5,2,1073807653,1,0,0->1,1073807616,64
1,0,32,293,5,7,1073807653,0,1,1->0,1073807616,64
1,0,32,294,6,5,1073807654,0,1,1->0,1073807616,64
1,0,32,298,2,2,1073807658,1,0,0->1,1073807616,64
1,0,32,299,3,5,1073807659,0,1,1->0,1073807616,64
1,0,32,304,0,0,1073807664,1,0,0->1,1073807616,64
1,0,32,305,1,0,1073807665,1,0,0->1,1073807616,64
1,0,32,311,7,2,1073807671,1,0,0->1,1073807616,64
1,0,40,325,5,0,1073807685,1,0,0->1,1073807680,80
1,0,40,325,5,7,1073807685,0,1,1->0,1073807680,80
1,0,40,327,7,0,1073807687,1,0,0->1,1073807680,80
1,0,40,328,0,2,1073807688,1,0,0->1,1073807680,80
1,0,40,329,1,2,1073807689,1,0,0->1,1073807680,80
1,0,40,329,1,7,1073807689,0,1,1->0,1073807680,80
1,0,40,331,3,7,1073807691,0,1,1->0,1073807680,80
1,0,40,335,7,5,1073807695,0,1,1->0,1073807680,80
1,0,40,339,3,0,1073807699,1,0,0->1,1073807680,80
1,0,40,341,5,0,1073807701,1,0,0->1,1073807680,80
1,0,40,341,5,5,1073807701,0,1,1->0,1073807680,80
1,0,40,343,7,2,1073807703,1,0,0->1,1073807680,80
1,0,40,344,0,7,1073807704,0,1,1->0,1073807680,80
1,0,40,348,4,2,1073807708,1,0,0->1,1073807680,80
1,0,40,352,0,5,1073807712,0,1,1->0,1073807680,80
1,0,40,354,2,5,1073807714,0,1,1->0,1073807680,80
1,0,40,356,4,2,1073807716,1,0,0->1,1073807680,80
1,0,40,357,5,7,1073807717,0,1,1->0,1073807680,80
1,0,40,364,4,7,1073807724,0,1,1->0,1073807680,80
1,0,40,373,5,5,1073807733,0,1,1->0,1073807680,80
1,0,40,381,5,2,1073807741,1,0,0->1,1073807680,80
1,0,40,383,7,5,1073807743,0,1,1->0,1073807680,80
1,0,40,383,7,7,1073807743,0,1,1->0,1073807680,80
1,0,48,385,1,0,1073807745,1,0,0->1,1073807744,96
1,0,48,393,1,2,1073807753,1,0,0->1,1073807744,96
1,0,48,396,4,5,1073807756,0,1,1->0,1073807744,96
1,0,48,399,7,7,1073807759,0,1,1->0,1073807744,96
1,0,48,402,2,5,1073807762,0,1,1->0,1073807744,96
1,0,48,403,3,7,1073807763,0,1,1->0,1073807744,96
1,0,48,407,7,2,1073807767,1,0,0->1,1073807744,96
1,0,48,407,7,5,1073807767,0,1,1->0,1073807744,96
1,0,48,408,0,0,1073807768,1,0,0->1,1073807744,96
1,0,48,414,6,7,1073807774,0,1,1->0,1073807744,96
1,0,48,421,5,7,1073807781,0,1,1->0,1073807744,96
1,0,48,422,6,7,1073807782,0,1,1->0,1073807744,96
1,0,48,424,0,5,1073807784,0,1,1->0,1073807744,96
1,0,48,426,2,7,1073807786,0,1,1->0,1073807744,96
1,0,48,427,3,5,1073807787,0,1,1->0,1073807744,96
1,0,48,434,2,2,1073807794,1,0,0->1,1073807744,96
1,0,48,434,2,5,1073807794,0,1,1->0,1073807744,96
1,0,48,436,4,7,1073807796,0,1,1->0,1073807744,96
1,0,48,439,7,0,1073807799,1,0,0->1,1073807744,96
1,0,48,439,7,5,1073807799,0,1,1->0,1073807744,96
1,0,56,450,2,7,1073807810,0,1,1->0,1073807808,112
1,0,56,453,5,0,1073807813,1,0,0->1,1073807808,112
1,0,56,453,5,5,1073807813,0,1,1->0,1073807808,112
1,0,56,458,2,5,1073807818,0,1,1->0,1073807808,112
1,0,56,462,6,7,1073807822,0,1,1->0,1073807808,112
1,0,56,466,2,7,1073807826,0,1,1->0,1073807808,112
1,0,56,468,4,0,1073807828,1,0,0->1,1073807808,112
1,0,56,469,5,5,1073807829,0,1,1->0,1073807808,112
1,0,56,469,5,7,1073807829,0,1,1->0,1073807808,112
1,0,56,472,0,5,1073807832,0,1,1->0,1073807808,112
1,0,56,476,4,0,1073807836,1,0,0->1,1073807808,112
1,0,56,480,0,2,1073807840,1,0,0->1,1073807808,112
1,0,56,481,1,7,1073807841,0,1,1->0,1073807808,112
1,0,56,482,2,5,1073807842,0,1,1->0,1073807808,112
1,0,56,482,2,7,1073807842,0,1,1->0,1073807808,112
1,0,56,492,4,5,1073807852,0,1,1->0,1073807808,112
1,0,56,507,3,5,1073807867,0,1,1->0,1073807808,112
1,0,56,509,5,2,1073807869,1,0,0->1,1073807808,112
1,0,64,517,5,2,1073807877,1,0,0->1,1073807872,128
1,0,64,519,7,7,1073807879,0,1,1->0,1073807872,128
1,0,64,520,0,7,1073807880,0,1,1->0,1073807872,128
1,0,64,521,1,2,1073807881,1,0,0->1,1073807872,128
1,0,64,525,5,2,1073807885,1,0,0->1,1073807872,128
1,0,64,527,7,5,1073807887,0,1,1->0,1073807872,128
1,0,64,529,1,2,1073807889,1,0,0->1,1073807872,128
1,0,64,533,5,7,1073807893,0,1,1->0,1073807872,128
1,0,64,534,6,5,1073807894,0,1,1->0,1073807872,128
1,0,64,535,7,7,1073807895,0,1,1->0,1073807872,128
1,0,64,537,1,5,1073807897,0,1,1->0,1073807872,128
