read_count,flips,byte_cells,single,double,triple,four_plus,double_adjacent,double_non_adjacent,non_adjacent_share_percent,file
200000000,19655,18600,17603,942,52,3,59,883,93.7,bitflips_1789607162.078913.csv
400000000,110685,109205,107825,1288,84,8,73,1215,94.3,bitflips_1789607910.290566.csv
600000000,329323,327538,325884,1531,115,8,78,1453,94.9,bitflips_1789610145.729922.csv
800000000,676070,673967,672014,1812,132,9,84,1728,95.4,bitflips_1789614740.638159.csv
