row,bank,col,byte_in_row,byte_lane,bit_in_byte,flip_addr,data_bit,expected_bit,direction,block_addr,block_word_index
1,0,0,9,1,0,1073807369,1,0,0->1,1073807360,0
1,0,0,12,4,0,1073807372,1,0,0->1,1073807360,0
1,0,0,13,5,2,1073807373,1,0,0->1,1073807360,0
1,0,0,16,0,5,1073807376,0,1,1->0,1073807360,0
1,0,0,31,7,5,1073807391,0,1,1->0,1073807360,0
1,0,0,40,0,0,1073807400,1,0,0->1,1073807360,0
1,0,0,47,7,0,1073807407,1,0,0->1,1073807360,0
1,0,8,88,0,0,1073807448,1,0,0->1,1073807424,16
1,0,8,97,1,0,1073807457,1,0,0->1,1073807424,16
1,0,8,99,3,2,1073807459,1,0,0->1,1073807424,16
1,0,8,99,3,7,1073807459,0,1,1->0,1073807424,16
1,0,8,102,6,5,1073807462,0,1,1->0,1073807424,16
1,0,16,128,0,7,1073807488,0,1,1->0,1073807488,32
1,0,16,139,3,0,1073807499,1,0,0->1,1073807488,32
1,0,16,143,7,7,1073807503,0,1,1->0,1073807488,32
1,0,16,146,2,5,1073807506,0,1,1->0,1073807488,32
1,0,16,156,4,0,1073807516,1,0,0->1,1073807488,32
1,0,16,161,1,5,1073807521,0,1,1->0,1073807488,32
1,0,16,162,2,5,1073807522,0,1,1->0,1073807488,32
1,0,24,193,1,5,1073807553,0,1,1->0,1073807552,48
1,0,24,196,4,5,1073807556,0,1,1->0,1073807552,48
1,0,24,199,7,2,1073807559,1,0,0->1,1073807552,48
1,0,24,206,6,2,1073807566,1,0,0->1,1073807552,48
1,0,24,213,5,0,1073807573,1,0,0->1,1073807552,48
1,0,24,215,7,7,1073807575,0,1,1->0,1073807552,48
1,0,24,217,1,0,1073807577,1,0,0->1,1073807552,48
1,0,24,237,5,2,1073807597,1,0,0->1,1073807552,48
1,0,24,243,3,2,1073807603,1,0,0->1,1073807552,48
1,0,32,262,6,2,1073807622,1,0,0->1,1073807616,64
1,0,32,265,1,0,1073807625,1,0,0->1,1073807616,64
1,0,32,272,0,2,1073807632,1,0,0->1,1073807616,64
1,0,32,272,0,7,1073807632,0,1,1->0,1073807616,64
1,0,32,276,4,2,1073807636,1,0,0->1,1073807616,64
1,0,32,278,6,0,1073807638,1,0,0->1,1073807616,64
1,0,32,280,0,5,1073807640,0,1,1->0,1073807616,64
1,0,32,293,5,0,1073807653,1,0,0->1,1073807616,64
1,0,32,294,6,5,1073807654,0,1,1->0,1073807616,64
1,0,32,299,3,5,1073807659,0,1,1->0,1073807616,64
1,0,32,304,0,0,1073807664,1,0,0->1,1073807616,64
1,0,40,329,1,7,1073807689,0,1,1->0,1073807680,80
1,0,40,348,4,2,1073807708,1,0,0->1,1073807680,80
1,0,40,352,0,5,1073807712,0,1,1->0,1073807680,80
1,0,40,354,2,5,1073807714,0,1,1->0,1073807680,80
1,0,48,408,0,0,1073807768,1,0,0->1,1073807744,96
1,0,48,436,4,7,1073807796,0,1,1->0,1073807744,96
1,0,56,453,5,0,1073807813,1,0,0->1,1073807808,112
1,0,56,466,2,7,1073807826,0,1,1->0,1073807808,112
1,0,56,476,4,0,1073807836,1,0,0->1,1073807808,112
1,0,56,481,1,7,1073807841,0,1,1->0,1073807808,112
1,0,64,521,1,2,1073807881,1,0,0->1,1073807872,128
1,0,64,525,5,2,1073807885,1,0,0->1,1073807872,128
1,0,64,529,1,2,1073807889,1,0,0->1,1073807872,128
1,0,64,535,7,7,1073807895,0,1,1->0,1073807872,128
